0     (( i-- ))
10000000000.0 10000000000.0     '[' -d /Users/sam/.rbenv/shims ']'
10000000000.1 10000000000.0     eval 'export PATH="/Users/sam/.rbenv/shims:${PATH}"
1.1e+11 1e+11    source /usr/local/Cellar/rbenv/0.4.0/libexec/../completions/rbenv.bash
10000000000.2 10000000000.0     '[' -d /Users/sam/.pyenv/shims ']'
10000000000.2 10000000000.0     eval 'export PATH="/Users/sam/.pyenv/shims:${PATH}"
1.1e+11 1e+11    source /usr/local/Cellar/pyenv/20151006/libexec/../completions/pyenv.bash
10000000000.5 10000000000.0     source /usr/local/bin/virtualenvwrapper.sh
1.10000000001e+11 1e+11    '[' '' = '' ']'
1.10000000001e+11 1e+11    virtualenvwrapper_initialize
1.10000000001e+11 1e+11    typeset result
1.11e+12 1e+12   typeset file
1.10000000001e+11 1e+11    source /var/folders/m0/p8kcl121269cs485fdyhfyjw0000gn/T/virtualenvwrapper-initialize-hook-sWd2laSHNj
10000000001.0 10000000000.0     source /Users/sam/.dotfiles/.bash_aliases
10000000001.3 10000000000.0     source /Users/sam/.dotfiles/.bash_functions
10000000001.3 10000000000.0     source /Users/sam/.dotfiles/bashmarks/bashmarks.sh
1.10000000001e+11 1e+11    touch /Users/sam/.bashmarks_dirs
10000000001.3 10000000000.0     source /Users/sam/.dotfiles/z/z.sh
10000000001.4 10000000000.0     source /usr/local/etc/bash_completion
1.10000000001e+11 1e+11    readonly BASH_COMPLETION BASH_COMPLETION_DIR BASH_COMPLETION_COMPAT_DIR
1.10000000004e+11 1e+11    list=($( sed -ne '/^# START exclude/,/^# FINISH exclude/p' "$BASH_COMPLETION" |     # read exclusion compspecs
1.10000000005e+11 1e+11    eval complete -r bunzip2 bzcat pbunzip2 pbzcat unzip zipinfo compress znew gunzip zcat unpigz uncompress lzcat lzegrep lzfgrep lzgrep lzless lzmore unlzma unxz xzcat lrunzip ee xv qiv gv ggv kghostview xdvi kdvi dvips dviselect dvitype dvipdf advi dvipdfm dvipdfmx acroread gpdf xpdf kpdf evince okular ps2pdf ps2pdf12 ps2pdf13 ps2pdf14 ps2pdfwr makeinfo texi2html tex latex slitex jadetex pdfjadetex pdftex pdflatex texi2dvi mpg123 mpg321 madplay xine aaxine fbxine kaffeine dragon aviplay realplay xanim ogg123 gqmpeg freeamp xfig playmidi timidity modplugplay modplug123 vi vim gvim rvim view rview rgvim rgview gview emacs xemacs sxemacs kate kwrite wine bzme netscape mozilla lynx opera galeon dillo elinks amaya firefox mozilla-firefox iceweasel google-chrome chromium-browser epiphany oowriter ooimpress oocalc oodraw oomath oobase rpm2cpio bibtex poedit gtranslator kbabel lokalize harbour gharbour hbpp hbrun lilypond ly2dvi cdiff lyx portecle kid3 kid3-qt
